English,Portuguese
Yeah,Sim
shit,merda
night,noite
dad,pai
that,que
Hi,Oi
this,esse
have,ter
stay,ficar
Sorry,Desculpe
Mom,Mãe
fear,temer
arrived,chegado
alone,sozinho
quickly,rapidamente
take,pegar
look at,olhe
air,ar
either,qualquer
three,três
what,o que
pass,passar
know,saber
please,por favor
things,coisas
less,menos
son,filho
between,entre
down,abaixo
calls,chamadas
pass,passar
oh,oh
head,cabeça
stop,parar
do,fazer
want,querer
Hey,Ei
wait,espere
eh,Eh
children,crianças
enough,suficiente
reason,razão
would have,teria
wanted,desejado
they,eles
speak,falar
ok,OK
days,dias
of,de
moment,momento
hour,hora
Then,Então
guys,pessoal
men,homens
love,amor
late,tarde
all,todos
are,são
kill,matar
eh,Eh
friend,amigo
know,saber
help,ajuda
chance,chance
know,saber
leave,deixar
knows,sabe
How much,Quanto
car,carro
taken,levado
leaves,folhas
issue,emitir
take,pegar
door,porta
cut,corte
would be,seria
come,vir
family,família
work,trabalhar
could,poderia
alone,sozinho
sense,senso
neither,nenhum
let's go,vamos
goodbye,adeus
idea,ideia
damn,droga
pass,passar
against,contra
understand,entender
heard,ouviu
find,encontrar
find,encontrar
old,velho
come,vir
during,durante
would have,teria
a few,um pouco
attention,atenção
request,solicitar
seek,procurar
below,abaixo
here is,aqui está
could,poderia
blood,sangue
can,pode
to go out,sair
question,pergunta
history,história
come,vir
brother,irmão
stay,ficar
finished,finalizado
city,cidade
new,novo
thing,coisa
hold,segurar
month,mês
them,eles
dude,cara
eyes,olhos
leave alone,deixe em paz
great,ótimo
beautiful,lindo
a long time,muito tempo
police,polícia
hours,horas
because,porque
imported,importado
case,caso
are going,estão indo
each,cada
earth,terra
place,lugar
killed,morto
kind,tipo
hand,mão
pardon,perdão
together,junto
only,apenas
war,guerra
beautiful,lindo
towards,em direção a
pray,rezar
in front,na frente
find,encontrar
part,papel
following,seguindo
Understood,Entendido
Morning,Manhã
their,deles
none,nenhum
arrived,chegado
above,acima
Dear,Querido
put,colocar
help,ajuda
were,eram
lost,perdido
END,FIM
be,ser
first,primeiro
gender,gênero
would like,gostaria
right,certo
given,dado
wait,espere
young,jovem
fire,fogo
should,deve
child,criança
bedroom,quarto
fat,gordo
side,lado
came,veio
far,distante
to leave ,sair 
give,dar
play,jogar
knew,sabia
account,conta
s,é
speak,falar
minutes,minutos
look,olhar
first,primeiro
power,poder
die,morrer
last,durar
given,dado
husband,marido
listen,ouvir
Finally,Finalmente
should,deve
put,colocar
movie,filme
none,nenhum
strong,forte
way,caminho
country,país
ready,preparar
women,mulheres
affair,assunto
could,poderia
hope,ter esperança
party,festa
job,trabalho
place,lugar
mad,louco
body,corpo
yesterday,ontem
Sorry,Desculpe
big,grande
point,apontar
five,cinco
out,fora
girls,garotas
cause,causa
live,ao vivo
close,fechar
thought,pensamento
boy,garoto
chief,chefe
high,alto
captain,capitão
would say,diria
baby,bebê
request,solicitar
possible,possível
hands,mãos
Thus,Por isso
four,quatro
new,novo
years,anos
full,completo
week,semana
say,dizer
believe,acreditar
walk,andar
round,redondo
school,escola
eat,comer
instead,em vez de
doctor,doutor
those,aqueles
truth,verdade
view,visualizar
Stop,Parar
try,tentar
envy,inveja
Soon,Breve
moment,momento
last,durar
business,negócios
arrive,chegar
ask,perguntar
best,melhor
make,fazer
behind,atrás
c,c
dollars,dólares
almost,quase
Dr.,Dr.
to fall,cair
daytime,dia
wanted,desejado
to call,ligar
trust,confiar
to wait for,esperar por
number,número
will be,vai ser
hard,duro
has,tem
remember,lembrar
o,ó
see,ver
course,curso
Good evening,Boa noite
road,estrada
will do,vai fazer
takes,leva
on board,a bordo
important,importante
penalty,pena
believed,acreditava
word,palavra
must,deve
enough,suficiente
minute,minuto
farm,fazenda
well,bem
pleasure,prazer
dog,cachorro
game,jogo
lord,senhor
gentlemen,senhores
calm,calma
would like,gostaria
happy,feliz
take,pegar
marriage,casado
see,ver
parents,pais
they,eles
inside,dentro
enter,digitar
bed,cama
Perfect,Perfeito
crazy,louco
Miss,Perder
to return,voltar
have,ter
music,música
stop,parar
as much,tanto
service,serviço
come back,voltar
this,esse
funny,engraçado
wait,espere
Sometimes,Às vezes
phone,telefone
back,voltar
will go,irá
e,e
poor,pobre
glass,vidro
general,em geral
new,novo
six,seis
think,pensar
impossible,impossível
party,festa
love,amor
heart,coração
love,amor
here,aqui
will do,vai fazer
president,presidente
doubt,dúvida
easy,fácil
hear,ouvir
pay,pagar
called,chamado
prison,prisão
john,John
get out,sair
coffee,café
worth,valor
bad,ruim
Dear,Querido
forget,esquecer
arm,braço
i,eu
kind,tipo
team,equipe
Exactly,Exatamente
heart,coração
think,pensar
to change,mudar
begin,começar
place,lugar
hear,ouvir
ies,ies
king,rei
plan,plano
everywhere,em todos os lugares
plays,peças
Dear,Querido
dead,morto
writing,escrita
to work,trabalhar
sick,doente
Otherwise,De outra forma
awesome,incrível
look,olhar
want,querer
to show,mostrar
go home,ir para casa
work,trabalhar
army,exército
wanted,desejado
look for,procurar
state,estado
security,segurança
of the,do
spirit,espírito
year,ano
ten,dez
leave alone,deixe em paz
drink,bebida
put,colocar
own,ter
be,ser
jack,Jack
to try,tentar
did,fez
early,cedo
Above all,Sobretudo
armed,armado
t,t
dream,sonhar
lose,perder
notice,perceber
seems,parece
worse ,pior 
simple,simples
think,pensar
speak,falar
peace,paz
book,livro
sleep,dormir
let's see,vamos ver
difficult,difícil
delay,atraso
was going,estava indo
d,d
subject,assunto
learned,aprendido
Next,Próximo
except,exceto
master,mestre
dead,morto
black,preto
gold,ouro
dinner,jantar
choice,escolha
would be,seria
listen,ouvir
dirty,sujo
were,eram
certainly,certamente
year,ano
order,ordem
often,muitas vezes
try,tentar
can,pode
face,face
end ,fim 
exchange,intercâmbio
serious,sério
worry,preocupar
age,idade
photo,foto
Street,Rua
to pull,puxar
to understand,entender
face,face
weeks,semanas
walk,andar
questions,questões
honor,honra
sky,céu
gone,perdido
keep,manter
path,caminho
severe,forte
LEFT,ESQUERDA
small,pequeno
fluent,fluente
friend,amigo
news,notícias
plane,avião
idiot,idiota
thrilled,entusiasmado
strength,força
millions,milhões
forget,esquecer
duty,obrigação
next,próximo
price,preço
about,sobre
boat,barco
move,mover
voice,voz
red,vermelho
stay,ficar
that,que
could,poderia
people,pessoas
would do,faria
beginning,começo
species,espécies
mouth,boca
buy,comprar
continue,continuar
spell,soletrar
hunger,fome
long,longo
j,j
journey,jornada
message,mensagem
sort,organizar
received,recebido
Welcome,Bem-vindo
silly,bobagem
some,alguns
hospital,hospital
promised,prometido
become,tornar-se
opens,abre
grace,graça
safe,seguro
problems,problemas
weapons,armas
stuff,coisa
camp,acampar
were going,estavam indo
busy,ocupado
had to,teve que
lack,falta
know,saber
tea,chá
had,tive
hair,cabelo
sun,sol
room,sala
earn,ganhar
let,deixar
error,erro
believed,acreditava
leave,deixar
weird,esquisito
believe,acreditar
bag,bolsa
hotel,hotel
uncle,tio
piece,pedaço
could,poderia
bottom,fundo
evening,noite
secret,segredo
boss,chefe
report,relatório
learn,aprender
begin,começar
save,salvar
second,segundo
think,pensar
Hello,Olá
elsewhere,em outro lugar
agent,agente
cold,frio
will be,vai ser
pretty,bonito
to come back,voltar
scene,cena
feet,pés
n,n
must,deve
band,banda
map ,mapa 
will have,terá
effect,efeito
nine,nove
had to,teve que
mounted,montado
beat,bater
Christmas,Natal
coming,chegando
words,palavras
shoot,atirar
RIGHT,CERTO
free,livre
sister,irmã
situation,situação
will be,vai ser
mess,bagunça
cum,porra
uh,uh
amazing,incrível
kill,matar
pretty,bonito
knows,sabe
standing,de pé
colonel,coronel
horse,cavalo
listen,ouvir
george,Jorge
joe,joão
old,velho
enter,digitar
interior,interior
corner,canto
will have,terá
won,ganho
money,dinheiro
law,lei
absolutely,absolutamente
lady,senhora
cool,legal
Magnificent,Magnífico
back,voltar
here,aqui
find,encontrar
successful,bem-sucedido
frank,franco
meet,encontrar
had,tive
best,melhor
soul,alma
loans,empréstimos
gently,suavemente
letter,carta
reminds,lembra
sat,sentado
was,era
risk,risco
orders,pedidos
call,chamar
to start,para começar
finished,finalizado
acts,atos
white,branco
sister,irmã
The same,O mesmo
Charlie,Charlie
hot,quente
finish,terminar
touch,tocar
advance,avançar
ignore,ignorar
murder,assassinato
calm,calma
birthday,aniversário
lunch,almoço
said,disse
edge,borda
Tom,Tom
young people,jovens
accident,acidente
speak,falar
do,fazer
completely,completamente
hated,odiado
clear,claro
to walk,caminhar
said,disse
bad,ruim
sent,enviado
has,tem
teacher,professor
happy,feliz
must,deve
noon,meio-dia
read,ler
AVERAGE,MÉDIA
would do,faria
commander,comandante
true,verdadeiro
seven,Sete
shape,forma
fall,cair
silence,silêncio
go out,sair
to know,saber
can,pode
gift,presente
cops,policiais
doctor,doutor
exact,exato
decided,decidiu
half,metade
surprise,surpresa
lawyer,advogado
watch,assistir
b,b
knew,sabia
to carry,carregar
TV,TV
alive,vivo
sworn,juramentado
say,dizer
mr,senhor
will be,vai ser
should,deve
became,tornou-se
love,amor
devil,diabo
line,linha
assignment,atribuição
assumed,assumido
each,cada
around,em volta
pal,amigo
fat,gordo
explain,explicar
arrival,chegada
to go up,subir
ball,bola
according to,de acordo com
pictures,fotos
control,controlar
ready,preparar
English,Inglês
released,lançado
k,k
disappeared,desaparecido
hold,segurar
simply,simplesmente
to leave,sair
send,enviar
paul,paulo
to like,gostar
way,caminho
Paris,Paris
class,aula
eight,oito
offer,oferecer
job,trabalho
dangerous,perigoso
attack,ataque
impression,impressão
crazy,louco
michael,Michael
eaten,comido
well done,bom trabalho
back,voltar
America,América
follow,seguir
go,ir
forget,esquecer
people,pessoas
kiss,beijo
encounter,encontro
shame,vergonha
asshole,Idiota
hole,buraco
return,retornar
song,canção
exchange,intercâmbio
arrested,preso
hell,inferno
to write,escrever
books,livros
habit,hábito
David,Davi
lieutenant,tenente
knew,sabia
radio,rádio
hold,segurar
band,banda
bob,prumo
makes,faz
company,empresa
known,conhecido
relief,alívio
dance,dança
puts,coloca
flight,voo
lives,vidas
bullshit,besteira
will have,terá
imagine,imaginar
box,caixa
plays,peças
sad,triste
south,sul
read,ler
such,tal
wonderful,maravilhoso
whore,prostituta
Ouch,Ai
looks like,parece
to sleep,dormir
stolen,roubado
exit,saída
had to,teve que
fight,lutar
mouth,boca
certain,certo
visit,visita
exists,existe
beast,besta
returns,retorna
approach,abordagem
Yet,Ainda
several,diversos
laugh,rir
aim,mirar
sergeant,sargento
audience,público
system,sistema
present,presente
will say,dirá
will be necessary,será necessário
listen,ouvir
out,fora
example,exemplo
sell,vender
continue,continuar
blows,golpes
will be able to,será capaz de
north,norte
kitchen,cozinha
era,era
big,grande
hero,herói
odd,chance
future,futuro
hazard,perigo
send,enviar
government,governo
to dance,dançar
moon,lua
be,ser
to set down,para estabelecer
leave,deixar
normal,normal
skin,pele
health,saúde
listen,ouvir
open,abrir
nose,nariz
seconds,segundos
lover,amante
Shame,Vergonha
full,completo
thousand,mil
fly,voar
key,chave
good,bom
appears,aparece
serve,servir
newspaper,jornal
village,aldeia
holds,detém
cop,policial
bastard,Desgraçado
judge,juiz
pulled,retirado
court,tribunal
sat,sentado
noise,barulho
terrible,terrível
next,próximo
freedom,liberdade
joke,piada
dress,vestir
crime,crime
beer,cerveja
heap,amontoar
come,vir
Don,Vestir
queen,rainha
protect,proteger
alone,sozinho
favorite,favorito
bar,bar
crazy,louco
wind,vento
pity,pena
believes,acredita
paid,pago
through,através
club,clube
boys,meninos
advice,conselho
ladies,senhoras
ground,chão
happiness,felicidade
dreams,sonhos
center,centro
tea,chá
same,mesmo
planes,aviões
mike,microfone
zero,zero
can,pode
wine,vinho
feels,sentimentos
form,forma
medium,médio
sign,sinal
united,unido
call,chamar
departure,partida
useless,inútil
take away,remover
understand,entender
list,lista
kid,criança
johnny,Johnny
hey,ei
socket,soquete
know,saber
different,diferente
will see,vai ver
probably,provavelmente
interest,interesse
selected,selecionado
speech,discurso
clothes,roupas
love,amor
research,pesquisar
Company,Empresa
did,fez
peter,Peter
care,cuidado
dear,querido
turned,virou
here,aqui
to come down,descer
Congratulations,Parabéns
laid,disposto
position,posição
eye,olho
to want,querer
guys,pessoal
will go,irá
show,mostrar
bought,comprado
which,qual
role,papel
interested,interessado
to use,usar
match,corresponder
becomes,torna-se
left,esquerda
sit,sentar
approximately,aproximadamente
please,por favor
wall,parede
hurt,ferir
putting,colocando
Harry,Harry
you,você
beauty,beleza
slut,vagabunda
bet,aposta
serves,serve
soldiers,soldados
movies,filmes
American,americano
marry,casar
entrance,Entrada
soldier,soldado
open,abrir
jump,pular
London,Londres
eiie,eiie
which,qual
coward,covarde
church,igreja
rock ,pedra 
window,janela
wrong,errado
brain,cérebro
guilty,culpado
small,pequeno
promise,promessa
address,endereço
prince,príncipe
neighborhood,vizinhança
hope,ter esperança
to drive,dirigir
would have,teria
ridiculous,ridículo
pink,rosa
Venus,Vênus
jimmy,Jimmy
press,imprensa
farewell,até a próxima
returns,retorna
experience,experiência
to present,apresentar
fall,cair
let's do,vamos fazer
marry,casar
brothers,irmãos
please,por favor
income,renda
anger,raiva
bill,conta
screw,parafuso
James,James
could,poderia
jim,Jim
interesting,interessante
open,abrir
nature,natureza
kid,criança
Taxi,Táxi
proud,orgulhoso
evidence,evidência
rich,rico
should,deve
base,base
flowers,flores
empty,vazio
doors,portas
miss ,perder 
tremendous,tremendo
,nulo
director,diretor
sing,cantar
contact,contato
stories,histórias
married,casado
defense,defesa
answer,responder
excuse,desculpa
responsible,responsável
second,segundo
mary,Mary
san,São
apartment,apartamento
decision,decisão
movie theater,cinema
throw,lançar
loved,amado
hide,esconder
ice,gelo
occasion,ocasião
teeth,dentes
vacation,férias
race,corrida
delighted,encantado
killer,assassino
feel,sentir
courage,coragem
Jesus,Jesus
aisle,corredor
able,capaz
try,tentar
saved,salvo
long,longo
among,entre
continue,continuar
pay,pagar
stunning,esplêndido
French,Francês
memory,memória
west,oeste
cleared,limpo
legs,pernas
cut,corte
immediately,imediatamente
machine,máquina
marry,casar
such,tal
married,casado
mine,meu
more,mais
certainly,certamente
bomb,bomba
types,tipos
p,p
born,nascer
manner,maneiras
won,ganho
foreseen,previsto
shit,merda
find,encontrar
u,você
ideas,ideias
touch,tocar
rendered,renderizado
km,quilômetros
find,encontrar
Ha,Ha
f,f
importance,importância
joy,alegria
disturbs,perturba
arrive,chegar
short,curto
bridge,ponte
fucked up,fodido
bath,banho
forget,esquecer
turn,vez
satisfied,satisfeito
was waiting,estava esperando
hundred,centenas
delighted,encantado
means,significa
leaves,folhas
fish,peixe
henry,Henrique
have,ter
ground,chão
investigation,investigação
horrible,horrível
cat,gato
some,alguns
r,R
truck,caminhão
girlfriend,namorada
happy,feliz
sheriff,xerife
to bring back,para trazer de volta
go down,descer
avoid,evitar
project,projeto
and,e
case,caso
respect,respeito
excellent,excelente
towards,em direção a
bride,noiva
busy,ocupado
when,quando
white,branco
majesty,majestade
encounter,encontro
to touch,tocar
angel,anjo
denied,negado
charge,cobrar
billy,Billy
horses,cavalos
v,v
dogs,cães
to prevent,para prevenir
hard,duro
area,área
facts,fatos
animals,animais
best,melhor
most,maioria
take,pegar
were,eram
policy,política
shoes,sapato
language,linguagem
eaten,comido
pain,dor
planet,planeta
to offer,oferecer
rules,regras
drug,medicamento
reality,realidade
bus,ônibus
bastard,Desgraçado
would say,diria
lived,vivido
hat,chapéu
island,ilha
meeting,reunião
be,ser
opposite,oposto
Tony,Tony
put,colocar
nick,apelido
will arrive,chegará
excuse,desculpa
code,código
color,cor
fast,rápido
tell,dizer
paper,papel
operation,operação
cards,cartões
food,comida
entire,inteiro
costs,custos
bathroom,banheiro
special,especial
vessel,navio
action,Ação
princess,princesa
store,loja
boyfriend,namorado
know,saber
drank,bebido
discovered,descoberto
bread,pão
cute,bonitinho
size ,tamanho 
sacred,sagrado
give back,retribuir
eddie,Eddie
double,dobro
will come,virá
imbecile,imbecil
try,tentar
field,campo
staff,funcionários
customer,cliente
CONTRACT,CONTRATO
gone,perdido
sex,sexo
mine,meu
meal,refeição
memory,memória
fate,destino
sleep,dormir
done ,feito 
cry,chorar
knife,faca
clever,esperto
to put back,colocar de volta
ray,raio
witness,testemunha
remains,restos
meters,metros
treasure,tesouro
kids,crianças
love,amor
Washington,Washington
reside,residir
faith,fé
since,desde
brought,trouxe
solution,solução
find,encontrar
new,novo
to reflect on,para refletir sobre
choose,escolher
taste,gosto
thanks,obrigado
destroy,destruir
university,universidade
soft,macio
beautiful,lindo
tell,dizer
speed,velocidade
lied,mentiu
very,muito
trial,julgamento
pregnant,grávida
amuse,divertir
level,nível
seen,visto
miss,perder
close,fechar
arrange,arranjo
end,fim
customers,clientes
remind,lembrar
Alex,Alex
bankrupt,falido
TREE,ÁRVORE
papers,papéis
Sarah,Sara
deserved,merecido
difference,diferença
work,trabalhar
let's say,digamos
blue,azul
say,dizer
loved,amado
call,chamar
space,espaço
camera,câmera
supposed,suposto
that,que
track,acompanhar
smile,sorriso
run,correr
accept,aceitar
found,encontrado
Charles,Carlos
leg,perna
England,Inglaterra
which,qual
prepare,preparar
fed up,cheio
strengths,pontos fortes
PULL,PUXAR
huge,enorme
